county_name,total_listings,median_list_SF,median_DOM,median_listRatio,median_vintage,investor_listings
Cherokee,1448,221.76227084565343,112.0,1.87741390506975,2005.0,26
Clayton,1001,147.8053435114504,152.0,2.090040467625899,1986.0,90
Cobb,2541,207.39277652370205,110.0,1.8849056603773584,1990.0,69
DeKalb,3353,177.71481481481482,166.0,1.91,1973.0,348
Douglas,788,161.24327956989248,165.0,2.118591691995947,1999.0,36
Fayette,555,203.02713987473905,129.0,1.8,1995.0,18
Forsyth,1372,225.85227272727272,123.5,1.9324324324324325,2006.0,20
Fulton,5089,215.786484951732,223.0,2.0069424856617104,1982.0,192
Gwinnett,3507,185.43783478389724,117.0,1.8455655730621885,1999.0,156
Henry,1460,157.96019900497512,159.0,1.6846938775510203,2001.0,86
Rockdale,481,153.50877192982455,154.0,1.9996363636363637,1988.0,32
