county,total_listings,median_list,median_DOM,median_price_cuts,investor_owned_listing,investor_owned_listing_%
Cherokee,1048,525000,58,1,173,16.50763359
Clayton,682,250000,58,0,275,40.32258065
Cobb,2212,449900,55,1,412,18.62567812
DeKalb,2514,305000,63,1,1046,41.6070008
Douglas,453,327000,65,1,136,30.02207506
Fayette,390,548876,65,0,78,20
Forsyth,941,658390,62,1,140,14.87778959
Fulton,3157,410000,65,1,952,30.15521064
Gwinnett,2690,439900,57,1,468,17.39776952
Henry,827,340000,68,1,241,29.14147521
Rockdale,297,310000,70,1,101,34.00673401
