hex_Res7,total_listings,median_list_all,median_DOM_all,median_price_cuts_all,investor_owned_listing
8744c0245ffffff,1,407500.0,112.0,2.0,0
8744c036bffffff,1,230000.0,141.0,0.0,0
8744c1000ffffff,3,499900.0,68.0,1.0,0
8744c1001ffffff,14,402900.0,71.0,1.0,2
8744c1002ffffff,10,268000.0,70.0,0.5,6
8744c1003ffffff,2,375000.0,50.5,0.0,0
8744c1004ffffff,1,775000.0,72.0,1.0,1
8744c1005ffffff,1,320000.0,56.0,0.0,0
8744c1006ffffff,6,442450.0,81.0,0.0,0
8744c1008ffffff,9,225000.0,81.0,2.0,5
8744c1009ffffff,52,222450.0,80.0,1.0,29
8744c100affffff,5,348000.0,54.0,1.0,3
8744c100cffffff,2,293700.0,124.5,2.5,1
8744c100dffffff,4,102000.0,85.0,0.0,2
8744c100effffff,7,315000.0,62.0,1.0,0
8744c1010ffffff,6,316750.0,79.5,0.5,2
8744c1011ffffff,6,324700.0,53.5,1.0,3
8744c1012ffffff,2,259250.0,104.5,1.0,0
8744c1013ffffff,15,255000.0,61.0,1.0,2
8744c1014ffffff,9,399800.0,93.0,0.0,3
8744c1015ffffff,4,252400.0,98.0,0.5,2
8744c1016ffffff,9,380000.0,107.0,1.0,3
8744c1018ffffff,1,280000.0,34.0,1.0,0
8744c1019ffffff,18,362000.0,36.5,0.0,8
8744c101bffffff,2,517000.0,11.0,0.0,0
8744c101dffffff,3,329500.0,26.0,0.0,1
8744c101effffff,20,234450.0,88.5,1.0,9
8744c1020ffffff,1,444900.0,8.0,0.0,0
8744c1021ffffff,5,257500.0,51.0,3.0,5
8744c1022ffffff,2,1499950.0,97.5,0.5,0
8744c1023ffffff,11,245000.0,52.0,2.0,7
8744c1024ffffff,1,424900.0,51.0,1.0,0
8744c1025ffffff,4,313950.0,96.5,1.0,2
8744c1026ffffff,1,645000.0,96.0,1.0,0
8744c1028ffffff,3,449900.0,68.0,1.0,1
8744c1029ffffff,16,244500.0,81.5,2.5,9
8744c102bffffff,3,355000.0,48.0,0.0,1
8744c102cffffff,7,244900.0,54.0,1.0,6
8744c102dffffff,4,330200.0,34.5,0.5,2
8744c102effffff,9,240000.0,78.0,3.0,7
8744c1030ffffff,4,367950.0,79.0,0.0,1
8744c1031ffffff,5,459000.0,58.0,0.0,1
8744c1032ffffff,8,272500.0,69.0,0.0,1
8744c1033ffffff,11,285000.0,103.0,1.0,3
8744c1034ffffff,3,424900.0,58.0,0.0,0
8744c1035ffffff,1,480000.0,35.0,0.0,0
8744c1036ffffff,15,330000.0,68.0,0.0,7
8744c1040ffffff,22,280000.0,97.0,1.0,15
8744c1041ffffff,26,299000.0,64.0,1.0,16
8744c1042ffffff,53,249900.0,68.0,1.0,35
8744c1043ffffff,27,245000.0,58.0,1.0,13
8744c1044ffffff,40,232500.0,52.0,0.0,31
8744c1045ffffff,19,280000.0,44.0,1.0,14
8744c1046ffffff,39,260000.0,85.0,2.0,22
8744c1048ffffff,6,199600.0,42.5,0.0,1
8744c104affffff,13,245000.0,71.0,1.0,4
8744c104bffffff,16,468750.0,42.0,0.0,4
8744c104cffffff,7,174900.0,38.0,0.0,2
8744c104dffffff,26,449500.0,46.5,0.5,5
8744c104effffff,9,295000.0,44.0,1.0,2
8744c1050ffffff,17,290000.0,31.0,1.0,11
8744c1051ffffff,20,276450.0,57.5,1.0,8
8744c1052ffffff,24,294500.0,51.5,0.0,16
8744c1053ffffff,13,325000.0,47.0,1.0,5
8744c1054ffffff,9,275000.0,74.0,1.0,6
8744c1055ffffff,28,241000.0,79.5,1.0,19
8744c1056ffffff,13,255000.0,67.0,1.0,3
8744c1058ffffff,9,280000.0,117.0,2.0,2
8744c1059ffffff,3,775000.0,66.0,1.0,0
8744c105affffff,1,619000.0,49.0,1.0,0
8744c105bffffff,4,800000.0,37.0,0.0,0
8744c105cffffff,39,244900.0,63.0,1.0,21
8744c105dffffff,23,299000.0,101.0,0.0,9
8744c105effffff,4,329900.0,43.5,0.0,3
8744c1060ffffff,32,297250.0,86.0,1.0,18
8744c1061ffffff,57,248000.0,98.0,1.0,41
8744c1062ffffff,39,225000.0,89.0,1.0,29
8744c1063ffffff,39,220000.0,85.0,1.0,30
8744c1064ffffff,22,302750.0,56.0,1.0,14
8744c1065ffffff,27,270000.0,75.0,1.0,17
8744c1066ffffff,11,284000.0,82.0,0.0,6
8744c1068ffffff,18,522500.0,57.0,1.0,6
8744c1069ffffff,23,479900.0,55.0,0.0,4
8744c106affffff,9,299000.0,54.0,1.0,1
8744c106bffffff,21,485000.0,54.0,1.0,3
8744c106cffffff,42,394500.0,75.5,1.0,11
8744c106dffffff,27,569000.0,74.0,1.0,3
8744c106effffff,26,273000.0,74.0,0.0,16
8744c1070ffffff,10,236950.0,53.0,2.5,7
8744c1071ffffff,13,255000.0,93.0,1.0,8
8744c1072ffffff,38,234950.0,68.5,1.0,24
8744c1073ffffff,38,227450.0,83.0,1.0,25
8744c1074ffffff,13,279000.0,49.0,1.0,8
8744c1075ffffff,22,257500.0,87.5,1.0,14
8744c1076ffffff,54,152500.0,56.0,0.0,18
8744c1080ffffff,2,592000.0,48.5,0.0,0
8744c1082ffffff,2,339900.0,34.0,0.5,0
8744c1084ffffff,3,599000.0,64.0,0.0,1
8744c108affffff,3,599900.0,46.0,0.0,1
8744c108bffffff,2,497450.0,39.5,0.5,0
8744c108cffffff,1,500000.0,35.0,0.0,0
8744c108dffffff,2,417500.0,47.5,0.5,0
8744c108effffff,2,539950.0,82.5,0.5,1
8744c1090ffffff,2,279999.5,43.0,1.5,1
8744c1091ffffff,1,679900.0,62.0,0.0,0
8744c1093ffffff,3,449000.0,75.0,0.0,0
8744c1094ffffff,2,552500.0,56.5,0.0,0
8744c1095ffffff,6,432450.0,34.5,0.0,1
8744c1096ffffff,2,752000.0,80.0,0.5,0
8744c1099ffffff,2,479500.0,30.5,1.0,0
8744c109affffff,3,350000.0,43.0,0.0,0
8744c109bffffff,7,399999.0,46.0,0.0,0
8744c109cffffff,2,401950.0,72.0,2.0,0
8744c109dffffff,1,450000.0,90.0,1.0,0
8744c109effffff,1,589000.0,30.0,0.0,0
8744c10a0ffffff,2,557500.0,64.0,2.0,1
8744c10a2ffffff,1,499000.0,82.0,2.0,0
8744c10a4ffffff,3,255000.0,85.0,1.0,1
8744c10a5ffffff,2,291350.0,114.0,0.5,2
8744c10a6ffffff,1,260000.0,79.0,1.0,0
8744c10a8ffffff,7,289900.0,33.0,0.0,3
8744c10a9ffffff,2,291500.0,91.0,3.0,1
